county_code,county_name,slug,availability_status,latest_year,population,population_growth_pct,gdp_contribution_pct,health_score,education_rating,employment_rate,unemployment_rate,development_score,development_tier,source,source_file
023,Turkana,turkana,DATA_UNAVAILABLE,2025,1334500,2.1,6.31,64.4,2.5,80.2,19.8,48.8,3,deterministic_baseline,
024,West Pokot,west_pokot,DOWNLOADED,2015,1376000,2.28,6.48,66.8,2.7,79.7,20.3,51.44,3,deterministic_baseline,D:\personal projects\Project data\West Pokot\2015-County-Statistical-Abstracts-West-Pokot.pdf
025,Samburu,samburu,DOWNLOADED,2024,1417500,2.46,6.65,69.2,2.9,84.1,15.9,58.0,2,deterministic_baseline,D:\personal projects\Project data\Samburu\2024-Statistical-Abstract-Samburu-County.pdf
026,Trans Nzoia,trans_nzoia,DATA_UNAVAILABLE,2025,1459000,2.64,6.82,71.6,3.1,83.5,16.5,60.56,2,deterministic_baseline,
027,Uasin Gishu,uasin_gishu,DOWNLOADED,2025,1500500,1.2,6.99,74.0,3.3,82.9,17.1,63.13,2,deterministic_baseline,D:\personal projects\Project data\Uasin Gishu\2025-Statistical-Abstract-Uasin-Gishu-County.pdf
028,Elgeyo-Marakwet,elgeyo_marakwet,DATA_UNAVAILABLE,2025,1542000,1.38,7.16,76.4,3.6,82.6,17.4,66.73,1,deterministic_baseline,
029,Nandi,nandi,DOWNLOADED,2015,1583500,1.56,7.33,78.8,3.8,82.0,18.0,69.29,1,deterministic_baseline,D:\personal projects\Project data\Nandi\2015-County-Statistical-Abstracts-Nandi.pdf
030,Baringo,baringo,DOWNLOADED,2015,1625000,1.74,7.5,81.2,4.0,86.4,13.6,75.85,1,deterministic_baseline,D:\personal projects\Project data\Baringo\2015-County-Statistical-Abstracts-Baringo.pdf
031,Laikipia,laikipia,DOWNLOADED,2024,1666500,1.92,7.67,83.6,4.2,85.8,14.2,78.41,1,deterministic_baseline,D:\personal projects\Project data\Laikipia\2024-Statistical-Abstract-Laikipia-County.pdf
032,Nakuru,nakuru,DOWNLOADED,2015,3245200,2.1,14.9,88.7,4.8,86.1,13.9,109.87,1,deterministic_baseline,D:\personal projects\Project data\Nakuru\2015-County-Statistical-Abstracts-Nakuru.pdf
033,Narok,narok,DOWNLOADED,2015,1749500,2.28,8.01,88.4,2.3,79.8,20.2,61.3,2,deterministic_baseline,D:\personal projects\Project data\Narok\2015-County-Statistical-Abstracts-Narok.pdf
034,Kajiado,kajiado,DATA_UNAVAILABLE,2025,1791000,2.46,8.18,50.0,2.5,79.2,20.8,49.17,3,deterministic_baseline,
035,Kericho,kericho,DATA_UNAVAILABLE,2025,1832500,2.64,8.35,52.4,2.7,83.7,16.3,55.81,3,deterministic_baseline,
036,Bomet,bomet,DATA_UNAVAILABLE,2025,1874000,1.2,8.52,54.8,2.9,83.1,16.9,58.38,2,deterministic_baseline,
037,Kakamega,kakamega,DATA_UNAVAILABLE,2025,1915500,1.38,8.69,57.2,3.1,82.5,17.5,60.94,2,deterministic_baseline,
038,Vihiga,vihiga,DATA_UNAVAILABLE,2025,1957000,1.56,8.86,59.6,3.3,81.9,18.1,63.5,2,deterministic_baseline,
039,Bungoma,bungoma,DOWNLOADED,2015,1998500,1.74,9.03,62.0,3.6,81.6,18.4,67.1,1,deterministic_baseline,D:\personal projects\Project data\Bungoma\2015-County-Statistical-Abstracts-Bungoma.pdf
040,Busia,busia,DATA_UNAVAILABLE,2025,2040000,1.92,9.2,64.4,3.8,86.0,14.0,73.66,1,deterministic_baseline,
041,Siaya,siaya,DATA_UNAVAILABLE,2025,2081500,2.1,9.37,66.8,4.0,85.4,14.6,76.23,1,deterministic_baseline,
042,Kisumu,kisumu,DOWNLOADED,2024,4033700,2.28,18.13,71.9,4.6,85.7,14.3,112.89,1,deterministic_baseline,D:\personal projects\Project data\Kisumu\2024-Statistical-Abstract-Kisumu-County.pdf
043,Homa Bay,homa_bay,DOWNLOADED,2024,2164500,2.46,9.71,71.6,4.4,84.2,15.8,81.35,1,deterministic_baseline,D:\personal projects\Project data\Homa Bay\2024-Statistical-Abstract-Homa-Bay-County.pdf
044,Migori,migori,DATA_UNAVAILABLE,2025,2206000,2.64,9.88,74.0,2.3,78.8,21.2,61.67,2,deterministic_baseline,
045,Kisii,kisii,DOWNLOADED,2015,2247500,1.2,10.05,76.4,2.5,83.2,16.8,68.23,1,deterministic_baseline,D:\personal projects\Project data\Kisii\2015-County-Statistical-Abstracts-Kisii.pdf
046,Nyamira,nyamira,DATA_UNAVAILABLE,2025,2289000,1.38,10.22,78.8,2.7,82.7,17.3,70.88,1,deterministic_baseline,
047,Nairobi,nairobi,DATA_UNAVAILABLE,2025,4427950,1.56,19.74,83.9,3.3,82.9,17.1,110.04,1,deterministic_baseline,
